node_id,hour,te,q_rem,penalty_cost,revenue
5021259,70080,618.4802,0.9792,7,58733.3626
5021259,78840,652.2645,0.9780,7,60481.3279
5021259,87600,667.5181,0.9775,7,61501.3537
5021259,87864,671.6233,0.9773,7,61733.4751
5021266,8760,1321.3616,0.9554,1,36905.0611
5021266,17520,2258.7357,0.9238,1,50737.2452
5021266,26280,3285.4590,0.8892,1,67327.5675
5021266,35040,4169.6295,0.8594,1,82783.8396
5021266,43800,4968.0265,0.8325,1,94174.8161
5021266,52560,5748.5961,0.8062,1,104058.2601
5021266,61320,6557.1954,0.7790,1,123984.5686
5021266,70080,7300.4654,0.7539,1,139599.7059
5021266,78840,7969.7439,0.7314,1,148872.7543
5021266,87600,8630.4605,0.7091,1,156939.5790
5021266,87864,8655.4225,0.7082,1,157483.1991
5021266,8760,624.6769,0.9789,2,23504.8884
5021266,17520,907.1557,0.9694,2,29990.0814
5021266,26280,1221.1527,0.9588,2,39007.6929
5021266,35040,1494.6073,0.9496,2,48690.7984
5021266,43800,1703.2927,0.9426,2,55279.9555
5021266,52560,1908.6625,0.9357,2,60291.5613
5021266,61320,2226.5357,0.9249,2,75663.9935
5021266,70080,2519.3957,0.9151,2,87310.3808
5021266,78840,2727.1439,0.9081,2,92930.4355
5021266,87600,2918.5667,0.9016,2,97507.0819
5021266,87864,2929.6954,0.9012,2,97916.3468
5021266,8760,376.7633,0.9873,3,15763.5981
5021266,17520,514.4405,0.9826,3,19100.5423
5021266,26280,680.6784,0.9770,3,24502.8750
5021266,35040,850.4226,0.9713,3,30864.8978
5021266,43800,971.1508,0.9673,3,35098.9313
5021266,52560,1057.9175,0.9643,3,38057.5781
5021266,61320,1257.5470,0.9576,3,49794.9994
5021266,70080,1437.0352,0.9516,3,58119.1697
5021266,78840,1548.4960,0.9478,3,61579.2133
5021266,87600,1637.8067,0.9448,3,64226.2758
5021266,87864,1642.9082,0.9446,3,64527.0225
5021266,8760,248.8747,0.9916,4,10817.6683
5021266,17520,318.4585,0.9892,4,12592.0888
5021266,26280,414.2045,0.9860,4,16008.4235
5021266,35040,519.8687,0.9825,4,20278.2544
5021266,43800,588.9746,0.9802,4,23081.5003
5021266,52560,633.9536,0.9786,4,25023.8360
5021266,61320,771.4365,0.9740,4,34234.4406
5021266,70080,893.3523,0.9699,4,40316.6182
5021266,78840,964.0744,0.9675,4,42405.8769
5021266,87600,1010.0585,0.9660,4,44057.0965
5021266,87864,1014.4846,0.9658,4,44286.1305
5021266,8760,174.4455,0.9941,5,7516.9030
5021266,17520,209.5661,0.9929,5,8493.3310
5021266,26280,267.2653,0.9910,5,10710.3565
5021266,35040,338.2940,0.9886,5,13604.9647
5021266,43800,381.3241,0.9871,5,15559.1207
5021266,52560,408.1287,0.9862,5,16942.9389
5021266,61320,502.0204,0.9831,5,24393.9546
5021266,70080,583.0208,0.9804,5,28924.4310
5021266,78840,620.9930,0.9791,5,30227.5476
5021266,87600,646.9718,0.9782,5,31349.2375
5021266,87864,650.8734,0.9780,5,31509.8320
5021266,8760,119.3304,0.9960,6,5200.8256
5021266,17520,137.4342,0.9954,6,5754.4419
5021266,26280,172.2551,0.9942,6,7264.4333
5021266,35040,214.9417,0.9928,6,9268.5892
5021266,43800,241.7125,0.9919,6,10677.4338
5021266,52560,258.3585,0.9913,6,11733.5740
5021266,61320,324.6525,0.9891,6,17934.0310
5021266,70080,384.6774,0.9870,6,21375.5714
5021266,78840,408.1329,0.9862,6,22191.3807
5021266,87600,423.4940,0.9857,6,22994.3111
